admin,Plato eliminado,plato 1,2025-07-02T17:45:52.552Z
admin,Usuario eliminado,admin88,2025-07-02T17:49:14.045Z
admin,Plato eliminado,tortilla,2025-07-04T21:07:48.882Z
admin,Usuario eliminado,admin33,2025-07-04T21:07:57.867Z
admin,Plato eliminado,test,2025-07-04T22:32:15.801Z
